Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident
985,5,3,1,4,0,1,5,3,6,2,7,1,5,7,0,0,3,2,0,2,1,2,3,2,5,3,0,2,5,7
317,4,0,1,4,0,1,4,3,2,2,2,4,5,0,0,0,3,2,0,1,1,3,0,1,0,2,0,2,5,16
150,4,0,1,1,0,2,5,3,6,2,1,7,5,7,0,0,3,2,5,2,1,1,1,0,1,2,0,2,5,14
150,4,1,1,4,0,3,9,3,6,3,4,4,5,7,0,0,3,2,6,2,1,7,1,1,0,2,1,2,5,1
512,6,0,1,7,3,6,17,4,6,3,9,7,9,0,1,0,3,2,0,2,3,9,3,2,5,3,0,2,5,8
512,6,0,1,4,0,1,15,3,3,2,9,7,8,0,0,0,3,2,6,2,3,2,0,0,1,2,3,2,5,13
512,6,0,2,4,0,2,17,3,1,2,6,0,5,0,0,0,3,2,0,2,3,2,2,1,4,2,0,2,1,0
285,0,0,1,0,0,1,0,3,1,2,0,4,5,1,0,0,3,2,0,1,1,2,3,2,5,3,0,2,5,1
160,5,2,2,7,3,6,17,4,6,3,13,7,5,1,0,0,3,2,8,2,1,2,0,1,1,2,7,5,5,11
160,5,0,1,7,0,0,5,3,6,2,4,7,5,1,0,0,3,2,4,2,1,2,0,1,0,1,0,2,5,15
334,1,0,1,4,0,1,0,3,6,2,9,3,5,0,0,0,3,2,3,1,1,2,3,2,5,3,7,5,5,0
486,4,0,1,4,0,3,0,0,4,2,9,4,5,1,0,0,3,2,3,1,1,3,0,1,0,2,0,5,5,12
329,4,0,1,4,0,4,5,3,2,2,7,4,5,1,0,0,3,2,6,2,1,7,1,0,0,2,7,2,5,1
329,4,1,2,4,0,1,0,0,6,2,9,7,5,1,0,0,3,2,0,2,1,9,3,2,5,3,0,2,5,10
248,2,2,1,4,0,4,0,3,0,2,10,4,1,2,0,0,3,2,0,2,1,2,0,0,0,2,0,2,5,11
248,2,0,1,2,0,2,0,3,1,2,10,4,1,2,0,0,3,2,4,2,1,2,2,1,4,2,0,2,6,10
646,0,0,1,0,0,0,15,3,6,2,6,0,5,0,0,0,0,2,3,2,2,2,3,2,5,3,0,2,5,12
646,0,2,1,4,0,4,17,3,1,2,9,4,1,0,0,0,0,2,0,2,2,2,0,0,0,1,0,2,5,13
646,0,2,1,7,3,6,17,3,6,3,9,7,5,0,0,0,0,2,0,2,2,2,3,2,5,3,0,2,5,3
388,3,2,1,2,0,4,0,3,6,1,5,7,5,1,0,0,3,2,1,2,1,2,0,0,0,2,1,2,5,0
388,3,1,1,2,0,4,8,3,3,3,9,7,5,1,0,0,3,2,8,2,1,2,3,2,5,3,7,2,5,3
708,3,1,1,7,3,6,17,3,2,0,2,7,5,1,0,0,0,2,8,2,2,2,0,0,1,2,0,2,5,0
708,3,0,1,2,0,1,0,3,6,2,6,4,5,1,0,0,0,2,1,2,2,2,0,1,0,2,7,5,5,12
1034,6,0,1,4,0,3,9,3,5,2,6,2,7,7,0,0,3,2,8,2,1,2,2,1,4,2,3,2,1,10
1034,6,0,1,4,0,3,10,0,6,2,6,2,0,7,3,0,3,2,2,2,1,2,0,1,4,2,7,5,5,1
290,0,1,1,4,0,2,4,3,1,3,7,4,7,7,0,0,3,2,8,1,1,2,3,2,5,3,3,2,5,1
69,0,1,1,4,0,0,14,3,1,3,7,4,5,0,0,0,3,2,8,2,1,2,3,2,5,3,7,5,5,2
69,0,1,1,5,0,4,12,3,5,2,9,2,5,0,0,0,3,2,8,2,1,2,0,0,0,2,3,2,5,10
495,1,0,1,4,0,4,14,3,6,3,7,2,5,0,0,0,3,2,6,2,1,2,3,2,5,3,7,5,5,1
495,1,0,1,2,0,1,0,3,4,3,7,4,6,0,0,0,3,2,8,2,1,2,0,1,0,1,7,5,5,0
547,5,0,1,4,2,0,0,3,2,3,7,2,5,3,0,0,3,2,8,2,1,2,0,0,3,2,3,2,5,7
547,5,1,1,4,0,2,7,0,2,2,7,4,5,3,0,0,3,2,8,2,1,2,3,2,5,3,1,2,5,13
122,2,2,1,1,0,1,15,3,1,2,7,0,6,1,0,0,3,2,1,2,3,2,0,1,1,2,2,2,5,13
122,2,1,1,1,2,2,0,3,6,2,7,2,5,1,0,0,3,2,8,2,3,2,0,1,1,2,1,2,5,10
122,2,1,1,4,0,3,14,3,1,3,2,2,5,1,0,0,3,2,2,2,3,2,3,2,5,3,7,5,5,12
122,2,0,2,4,0,2,0,3,2,3,7,4,5,1,0,0,3,2,8,2,3,2,1,0,0,2,1,2,5,16
223,4,0,1,2,0,2,9,1,1,3,4,2,5,1,0,0,3,2,6,2,1,2,0,1,1,2,7,5,5,11
223,4,1,1,4,0,2,17,3,6,2,9,0,5,1,0,0,3,2,8,2,1,2,3,2,5,3,1,2,5,10
174,5,0,2,4,0,3,0,0,3,2,7,2,5,5,0,3,3,4,8,2,1,2,3,2,5,3,1,2,5,1
174,5,2,1,4,4,0,5,3,6,2,6,2,5,5,3,3,3,4,8,2,1,2,0,1,0,2,1,2,5,3
165,0,0,1,4,0,1,17,3,6,2,4,5,5,7,0,0,3,2,8,2,1,2,3,2,5,3,0,2,5,1
165,0,1,1,4,0,0,11,3,0,2,4,0,5,7,0,0,3,2,8,2,1,2,3,2,5,3,0,2,5,16
413,3,1,1,7,4,6,17,3,6,2,7,2,5,7,0,0,3,2,2,2,1,2,0,1,4,2,4,2,5,13
413,3,1,1,1,0,2,9,1,3,3,3,2,5,7,0,0,3,2,8,2,1,2,3,2,5,3,0,2,5,4
501,1,4,0,4,0,2,9,3,5,3,6,1,5,1,2,0,3,2,8,2,1,2,1,0,3,2,3,2,5,2
501,1,1,1,4,0,3,0,3,1,2,2,4,5,1,0,0,3,2,2,2,1,2,1,0,1,2,7,5,5,19
196,4,1,2,4,0,1,17,1,2,2,3,4,7,2,0,0,3,2,2,2,1,2,1,0,1,2,7,5,5,1
196,4,0,1,4,2,3,0,3,3,2,6,7,5,2,5,0,3,2,8,2,1,11,0,1,0,2,0,2,5,10
237,6,0,1,4,0,1,5,3,1,2,7,2,0,1,3,0,3,2,8,2,1,2,3,2,5,3,0,2,5,13
237,6,1,1,1,1,2,9,3,0,3,6,4,5,1,0,0,3,2,8,2,1,2,0,1,0,2,0,2,5,12
521,1,0,1,1,0,2,4,3,1,3,6,2,7,0,5,0,0,2,8,2,1,7,1,1,0,2,0,2,5,0
521,1,1,1,4,3,2,0,3,6,2,7,0,3,0,0,0,0,2,2,2,1,2,3,2,5,3,7,5,5,11
93,4,1,1,4,0,2,0,3,0,2,6,4,6,1,2,0,3,2,8,1,4,2,0,1,0,2,0,2,5,16
93,4,1,1,1,0,3,0,3,6,2,9,4,5,1,0,0,3,2,8,1,4,2,0,1,3,2,3,2,5,3
93,4,1,1,4,4,4,1,3,5,3,7,2,5,1,0,0,3,2,8,1,4,2,3,2,5,3,7,5,5,12
93,4,1,1,4,0,2,9,3,1,3,6,0,5,1,0,0,3,2,8,1,4,2,0,0,1,2,3,2,5,11
356,5,2,1,1,0,0,4,3,2,3,6,4,7,1,0,0,3,2,8,1,1,9,2,1,1,2,0,2,5,1
309,6,2,2,7,3,6,17,4,6,3,6,7,5,1,0,0,3,2,8,1,1,2,3,2,5,3,7,2,5,3
619,3,1,1,4,0,3,17,3,2,2,7,2,6,7,2,0,0,2,2,2,1,2,0,0,0,2,3,5,5,1
619,3,3,1,2,2,1,0,3,6,2,2,4,5,7,0,0,0,2,8,2,1,2,3,2,5,3,7,2,5,1
524,6,1,1,4,0,0,4,3,5,2,4,4,5,0,0,3,0,2,1,2,1,2,0,0,1,2,2,2,5,0
524,6,1,1,4,0,0,5,3,0,2,6,0,5,0,0,3,0,2,2,2,1,2,0,1,0,1,0,5,5,17
356,3,2,1,0,2,1,8,3,5,2,2,4,5,5,0,0,3,2,2,1,2,2,3,2,5,3,7,5,5,3
356,3,2,1,7,3,6,4,3,6,3,6,4,5,5,0,0,3,2,8,1,2,9,2,0,4,2,0,2,5,10
766,6,2,2,1,2,1,14,3,6,2,6,7,5,0,0,0,0,2,6,2,3,2,0,0,0,2,0,5,5,3
766,6,2,1,4,0,0,7,3,6,3,9,2,5,0,0,0,0,2,8,2,3,2,3,2,5,3,7,2,5,0
766,6,1,1,7,2,2,7,3,2,3,6,2,5,0,0,0,0,2,8,2,3,7,3,2,5,3,7,2,5,12
948,1,0,2,4,0,4,4,3,2,3,9,4,5,7,0,0,3,2,8,2,1,2,0,0,1,2,0,2,5,1
948,1,0,1,4,0,1,17,3,1,3,6,0,5,7,0,0,3,2,8,2,1,2,3,2,5,3,0,2,5,10
323,3,1,1,4,0,2,0,3,1,2,6,0,5,1,0,0,3,2,8,2,1,7,0,1,0,2,3,2,5,9
323,3,1,1,4,0,3,5,4,6,2,7,2,5,1,2,0,3,2,8,2,1,2,0,1,1,2,3,2,5,9
352,1,0,1,1,0,1,7,3,5,2,7,2,5,1,0,0,3,2,8,2,1,3,3,2,5,3,0,2,5,10
352,1,0,1,1,2,3,5,3,3,2,9,2,5,1,0,0,3,2,8,2,1,3,3,2,5,3,0,2,5,10
1060,3,2,1,4,0,0,0,3,5,3,2,2,5,0,0,0,3,2,2,2,1,2,0,1,0,2,7,5,5,10
1060,3,2,1,4,0,2,8,0,5,2,2,0,5,0,0,0,3,2,8,2,1,2,3,2,5,3,0,2,5,11
453,4,0,1,4,0,1,5,3,1,2,9,0,5,7,4,0,3,2,8,3,1,2,3,2,5,3,0,2,5,3
453,4,0,1,4,0,1,10,3,6,2,6,2,6,7,3,0,3,2,8,3,1,2,3,2,5,3,0,2,5,1
453,4,1,1,4,0,1,3,3,2,2,6,2,6,7,3,0,3,2,8,3,1,2,0,0,0,2,7,2,5,0
662,3,0,2,4,0,1,0,3,1,3,9,2,5,1,0,0,0,2,1,2,1,2,0,1,1,1,7,5,5,3
662,3,2,1,4,0,3,0,3,2,3,2,7,5,1,0,0,0,2,8,2,1,2,0,0,3,2,0,2,5,3
692,4,0,1,4,0,3,7,3,6,3,7,2,5,7,2,0,0,2,8,2,2,2,0,0,1,2,0,2,5,10
692,4,1,1,1,0,2,17,3,6,3,6,2,5,7,0,0,0,2,8,2,2,2,3,2,5,3,3,2,5,13
587,1,0,1,7,0,6,3,3,6,3,7,2,5,7,0,0,0,2,8,2,1,2,3,2,5,3,0,2,5,1
587,1,0,1,7,0,1,9,3,6,3,7,2,5,7,0,0,0,2,8,2,1,2,0,1,1,2,0,2,5,1
369,1,0,1,1,0,2,9,3,6,3,14,6,5,0,0,0,3,2,8,2,1,6,0,1,0,1,0,2,5,10
369,1,2,1,4,0,2,7,0,1,3,9,2,9,0,2,0,3,2,2,2,1,2,3,2,5,3,7,5,5,10
329,1,1,2,4,0,3,7,3,4,3,2,4,5,0,0,0,3,2,8,1,1,2,0,1,0,1,0,2,5,17
773,4,3,1,4,0,2,7,4,6,3,7,4,5,1,0,0,2,2,8,1,4,2,3,2,5,3,0,2,5,2
773,4,3,1,4,0,3,9,3,5,3,7,1,5,1,0,0,2,2,8,1,4,2,0,1,1,1,3,2,5,12
773,4,3,1,1,0,4,5,3,5,2,9,2,5,1,0,0,2,2,8,1,4,2,3,2,5,3,7,2,5,11
773,4,3,1,1,0,2,7,3,5,3,6,1,5,1,0,0,2,2,8,1,4,2,3,2,5,3,7,5,5,12
619,1,2,1,1,0,0,9,3,5,2,4,2,5,7,0,0,1,2,8,3,1,9,3,2,5,3,0,2,5,13
619,1,1,2,1,0,2,7,0,6,2,9,0,5,7,0,0,1,2,8,3,1,2,0,1,0,2,0,2,5,13
619,1,1,1,1,0,2,4,3,6,2,6,5,5,7,0,0,1,2,8,3,1,2,3,2,5,3,0,2,5,9
470,0,0,1,1,0,1,7,3,1,3,7,6,5,0,0,0,3,2,6,2,1,11,3,2,5,3,7,5,5,10
470,0,1,1,1,0,2,7,3,5,3,2,7,5,0,0,0,3,2,8,2,1,3,0,0,0,2,0,2,5,9
480,1,1,2,7,3,2,7,3,3,3,4,6,5,0,2,0,3,2,8,1,1,2,1,0,4,2,3,2,5,12
418,0,0,1,4,0,3,8,3,5,2,1,1,5,1,0,0,3,2,8,1,1,3,0,1,0,2,3,2,5,3
599,2,4,0,4,0,3,0,3,5,2,0,4,5,0,0,0,0,2,2,2,3,9,3,2,5,3,7,5,5,10
599,2,0,2,1,0,4,7,3,5,2,7,2,5,0,0,0,0,2,8,2,3,2,3,2,5,3,7,2,5,13
599,2,0,1,1,0,2,5,3,5,3,7,2,5,0,0,0,0,2,8,2,3,2,0,1,0,2,0,2,5,1
599,2,0,1,1,2,2,10,3,5,2,4,2,9,0,2,0,0,2,8,2,3,11,3,2,5,3,0,2,5,10
506,6,1,1,1,0,1,0,0,1,3,7,2,5,1,0,3,0,4,2,2,1,2,0,1,0,2,7,5,5,3
506,6,0,1,1,0,3,8,0,6,3,6,7,5,1,0,3,0,4,8,2,1,2,3,2,5,3,0,2,5,10
354,0,0,1,1,0,1,5,3,5,3,14,7,5,7,0,0,3,2,8,3,1,2,0,0,3,2,3,2,5,12
354,0,1,1,4,0,3,9,3,6,3,6,2,5,7,0,0,3,2,8,3,1,2,3,2,5,3,3,2,5,1
354,0,0,1,4,0,4,7,3,6,3,6,4,5,7,0,0,3,2,8,3,1,7,0,1,0,1,3,2,5,11
168,5,0,1,4,0,1,5,1,5,3,7,7,5,3,0,0,3,2,2,1,1,2,1,0,0,2,7,5,5,12
1023,1,3,2,1,0,2,8,0,1,3,7,7,5,0,0,0,3,2,8,2,1,2,0,0,3,2,3,2,5,0
1023,1,2,1,1,0,2,7,3,5,2,7,4,5,0,0,0,3,2,8,2,1,2,3,2,5,3,3,2,5,18
443,2,1,1,1,0,0,5,3,3,3,7,7,5,1,4,3,3,2,8,1,1,9,2,1,4,2,0,1,5,4
34,3,0,1,1,0,6,12,4,6,3,9,4,5,1,0,0,0,2,8,1,3,7,3,2,5,3,0,2,5,3
34,3,0,1,4,0,0,0,3,1,2,2,4,5,1,0,0,0,2,8,1,3,2,0,1,0,2,3,2,5,4
34,3,0,1,7,0,2,0,3,1,3,6,0,5,1,0,0,0,2,1,1,3,2,1,1,4,2,3,2,5,3
326,6,1,1,1,2,0,14,3,1,3,2,7,5,0,0,0,3,2,8,1,1,9,3,2,5,3,0,2,5,11
499,2,3,1,4,0,2,7,3,1,3,7,2,5,7,0,3,0,4,8,2,1,3,0,1,3,2,0,2,5,3
499,2,0,1,4,0,1,5,3,6,3,14,7,5,7,0,3,0,4,2,2,1,2,0,1,1,2,7,5,5,1
866,0,1,1,4,0,1,5,3,0,3,12,7,3,1,0,3,2,2,8,1,1,2,0,1,3,2,0,2,5,9
152,2,0,2,4,0,2,3,3,2,3,6,2,6,0,2,0,3,2,8,1,1,2,0,1,3,2,0,2,5,3
721,0,1,1,4,2,4,14,3,4,3,7,7,3,1,0,0,0,2,1,1,1,7,3,2,5,3,4,2,5,1
901,0,1,1,2,0,4,9,3,5,3,6,4,5,0,0,3,0,4,8,2,1,2,0,0,0,2,1,2,5,3
901,0,1,1,4,0,6,0,3,6,3,7,4,5,0,0,3,0,4,8,2,1,2,1,1,4,2,0,2,5,3
452,4,3,1,4,0,4,9,3,1,3,7,2,5,1,0,3,0,2,1,1,2,2,2,1,1,2,2,2,5,3
452,4,3,1,4,0,1,5,3,6,3,6,4,5,1,0,3,0,2,1,1,2,6,3,2,5,3,7,2,5,1
836,0,0,2,4,0,1,0,3,6,2,7,0,5,7,0,3,0,4,1,1,4,2,3,2,5,3,7,5,5,1
836,0,0,1,4,0,2,5,3,6,3,2,7,5,7,0,3,0,4,2,1,4,2,0,1,1,2,7,5,5,3
836,0,0,1,1,0,2,5,3,6,2,6,2,5,7,0,3,0,4,8,1,4,11,0,1,0,2,1,5,5,16
836,0,0,2,7,2,2,8,3,3,2,6,2,5,7,0,3,0,4,8,1,4,2,0,0,3,2,0,5,5,1
352,2,0,1,4,0,2,7,3,1,3,7,4,7,7,0,0,3,2,8,1,1,2,0,1,4,0,0,5,5,10
1014,0,3,1,4,2,2,0,3,1,3,9,4,5,0,0,3,3,4,8,1,1,8,0,1,0,2,0,5,5,13
16,3,0,1,3,0,1,0,3,5,2,9,4,5,7,0,0,0,2,8,2,2,2,3,2,5,3,3,2,5,1
16,3,1,1,4,0,2,4,3,2,1,14,2,5,7,0,0,0,2,8,2,2,5,0,1,0,2,0,2,5,1
16,3,1,1,4,0,4,1,3,5,1,7,7,5,7,0,0,0,2,1,2,2,2,0,1,3,2,2,2,5,16
7,3,0,1,4,0,0,0,3,5,2,6,6,3,1,0,3,0,5,2,2,1,7,3,2,5,3,7,5,5,13
7,3,0,1,1,0,1,5,0,5,2,12,0,5,1,2,3,0,5,8,2,1,2,0,1,1,2,0,2,5,4
326,2,4,0,1,0,1,4,3,5,2,7,2,3,7,0,0,3,0,8,2,2,2,0,1,3,2,3,2,5,16
326,2,1,1,1,0,2,4,3,2,2,7,2,8,7,5,0,3,0,8,2,2,11,0,1,3,2,3,2,5,12
326,2,1,1,4,0,2,0,0,5,2,2,2,5,7,0,0,3,0,8,2,2,2,3,2,5,3,3,2,5,9
388,2,3,1,7,3,6,17,4,6,3,6,6,6,7,0,3,0,4,9,2,1,3,0,1,3,2,7,4,5,13
388,2,3,1,4,0,3,0,3,6,3,7,2,6,7,0,3,0,4,8,2,1,2,3,2,5,3,0,0,5,12
593,0,3,1,4,0,3,10,0,6,2,9,0,5,7,0,0,0,2,8,2,2,3,0,1,0,2,0,2,5,11
593,0,1,1,4,2,3,9,3,6,3,6,2,5,7,0,0,0,2,8,2,2,2,1,0,0,2,3,2,5,1
574,1,2,1,4,0,7,7,3,6,3,6,4,5,0,0,3,2,2,8,2,3,2,0,1,1,1,0,2,5,1
574,1,1,1,4,0,2,0,3,4,3,6,2,5,0,0,3,2,2,8,2,3,11,3,2,5,3,0,2,5,1
574,1,1,1,4,0,1,0,1,0,3,2,6,5,0,0,3,2,2,8,2,3,2,0,1,4,2,0,2,5,4
543,5,0,1,1,0,2,10,3,6,3,6,2,5,0,0,3,0,2,8,2,1,2,3,2,5,3,0,2,5,0
543,5,0,1,4,0,1,10,3,0,3,6,2,6,0,3,3,0,2,8,2,1,2,2,0,4,2,0,2,6,9
466,2,2,1,2,2,2,0,3,6,3,6,2,6,1,0,3,0,4,8,2,1,9,3,2,5,3,0,2,5,2
466,2,0,1,4,0,3,7,3,2,2,6,2,5,1,0,3,0,4,1,2,1,2,0,1,1,2,7,2,5,9
691,3,1,1,4,0,1,8,3,6,2,7,2,5,7,0,0,0,2,2,2,1,2,3,2,5,3,1,2,5,10
691,3,1,2,1,0,1,5,3,6,2,9,0,5,7,0,0,0,2,2,2,1,2,1,0,0,2,7,5,5,13
298,1,2,1,2,2,3,0,3,6,2,2,4,5,7,0,0,3,2,8,2,2,7,0,1,0,1,0,2,5,12
298,1,2,1,1,0,0,0,3,6,2,7,2,5,7,0,0,3,2,8,2,2,1,3,2,5,3,3,2,5,1
298,1,0,2,4,0,3,5,3,6,2,1,2,5,7,0,0,3,2,8,2,2,2,3,2,5,3,3,2,5,13
458,3,1,1,7,3,6,17,4,6,3,14,6,5,0,0,3,0,2,8,2,1,1,0,1,0,2,7,5,5,10
458,3,2,1,4,2,2,7,3,5,2,4,4,6,0,0,3,0,2,8,2,1,2,3,2,5,3,3,2,5,3
711,2,0,1,0,0,2,0,3,6,2,7,2,5,0,0,3,0,4,2,2,1,2,0,1,1,2,7,5,5,10
711,2,0,1,4,0,2,0,3,5,3,7,7,5,0,0,3,0,4,8,2,1,2,2,0,0,2,3,2,5,9
944,5,0,1,4,0,3,0,3,2,2,2,7,5,7,0,3,3,2,8,2,1,2,3,2,5,3,0,2,5,10
944,5,1,1,4,0,0,0,3,2,2,2,4,5,7,0,3,3,2,8,2,1,2,0,1,4,2,3,2,5,9
74,6,1,1,4,0,1,5,3,6,2,7,2,5,1,0,3,3,3,8,1,1,2,0,1,1,1,3,2,5,11
210,6,1,1,4,0,4,7,3,6,2,7,1,5,1,0,3,3,4,8,2,3,2,1,0,0,2,3,2,5,0
210,6,1,1,4,0,3,8,0,1,3,1,2,5,1,0,3,3,4,8,2,3,2,3,2,5,3,0,2,5,10
210,6,1,1,4,0,0,14,3,1,3,7,4,5,1,0,3,3,4,1,2,3,2,3,2,5,3,1,2,5,13
114,4,0,1,0,0,2,7,3,2,3,6,4,5,7,4,0,3,2,1,2,1,3,0,1,4,2,7,2,5,10
114,4,0,1,4,0,2,8,3,2,2,2,2,5,7,0,0,3,2,2,2,1,2,0,1,0,2,7,5,5,11
379,0,4,0,1,2,4,14,3,1,3,6,2,5,7,0,3,0,2,1,3,1,2,3,2,5,3,7,5,5,9
379,0,1,1,7,3,6,5,4,6,2,6,4,7,7,0,3,0,2,8,3,1,2,3,2,5,3,7,5,5,11
379,0,2,2,4,0,3,0,3,1,2,7,4,5,7,0,3,0,2,8,3,1,2,0,1,0,2,3,2,5,10
596,0,1,1,4,3,6,17,0,6,3,9,2,5,1,0,3,0,2,8,1,1,2,1,0,0,2,0,2,5,11
655,1,0,1,4,0,0,0,3,1,2,6,2,6,1,0,3,0,4,2,2,1,2,0,1,0,2,7,5,5,3
655,1,0,1,4,2,1,0,3,1,3,9,7,5,1,0,3,0,4,2,2,1,2,0,1,0,2,7,5,5,7
466,6,0,1,7,0,7,16,3,5,2,9,2,5,1,4,3,2,8,8,2,3,2,1,0,0,2,0,2,5,3
466,6,0,2,4,0,3,17,3,6,2,7,0,5,1,0,3,2,8,8,2,3,2,3,2,5,3,0,2,5,0
466,6,0,1,4,2,1,14,3,6,2,3,1,5,1,0,3,2,8,8,2,3,2,0,1,0,2,3,2,5,12
429,6,2,1,4,0,2,0,0,6,2,7,4,5,7,0,3,0,4,8,1,1,2,3,2,5,3,0,2,5,1
671,1,0,1,4,0,1,0,3,6,2,7,4,5,2,0,3,0,4,8,1,1,2,0,1,4,2,0,2,5,1
326,1,0,1,4,0,0,0,3,6,2,1,1,6,7,0,0,3,2,8,1,1,2,0,0,0,2,3,2,5,10
506,1,4,0,4,0,2,8,3,6,2,7,4,5,7,0,3,0,4,8,1,1,2,3,2,5,3,3,2,5,10
982,6,2,1,4,0,1,5,3,6,2,7,4,5,1,0,0,3,2,8,1,1,2,3,2,5,3,0,2,5,0
326,5,4,0,1,0,2,5,3,6,2,7,4,5,0,0,3,2,2,8,1,1,2,0,1,0,2,3,2,5,1
493,0,0,2,0,2,2,0,3,4,2,6,2,5,0,5,3,0,4,2,2,1,2,1,1,0,2,7,5,5,12
493,0,0,1,4,0,1,5,3,1,2,7,2,6,0,4,3,0,4,2,2,1,7,2,0,4,2,7,5,6,0
566,6,0,1,4,0,1,5,3,6,2,9,2,5,0,0,3,2,4,1,2,1,2,2,0,3,1,7,5,0,12
566,6,0,1,4,0,1,5,3,2,2,7,4,5,0,0,3,2,4,8,2,1,2,0,1,4,2,3,2,5,9
1046,0,1,2,4,0,2,5,3,5,2,7,4,5,1,0,3,3,2,8,2,1,2,3,2,5,3,0,2,5,18
1046,0,0,1,4,0,0,0,3,6,3,2,4,5,1,0,3,3,2,8,2,1,11,2,0,4,2,1,2,0,10
260,6,0,1,4,2,1,0,3,0,0,6,4,5,1,1,0,3,2,8,2,1,2,3,2,5,3,0,2,5,10
260,6,2,1,2,2,1,0,3,3,2,12,7,5,1,5,0,3,2,8,2,1,2,0,1,3,2,0,2,5,10
251,0,1,1,7,0,6,10,3,1,2,7,4,5,7,0,3,3,2,8,2,1,2,1,1,1,2,0,2,5,0
251,0,1,1,4,2,0,0,3,0,2,6,4,5,7,0,3,3,2,8,2,1,2,1,1,3,2,0,2,5,12
715,5,4,0,4,3,4,10,3,0,2,9,7,3,0,0,3,0,2,8,2,1,2,1,1,1,2,0,2,5,2
715,5,2,1,2,0,0,10,3,0,2,4,1,5,0,0,3,0,2,8,2,1,2,1,1,3,2,0,2,5,16
917,4,0,1,0,0,0,0,3,1,2,7,4,5,7,2,3,0,8,1,2,1,11,0,1,0,2,1,2,5,13
917,4,1,1,4,0,3,4,3,0,2,9,4,5,7,0,3,0,8,1,2,1,3,1,0,0,2,0,2,5,0
945,4,0,1,2,0,0,0,3,0,2,1,2,5,7,0,3,0,4,8,2,1,2,1,1,1,2,1,2,5,11
